drive_file_id,title,herb_ko,herb_hanja,latin_drug_name,category,subcategory,source_book,source_volume,printed_page_start,printed_page_end,pdf_page_start,pdf_page_end,status,ocr_uncertain,safety_flags,last_reviewed,file_size_bytes,created_time,modified_time,has_frontmatter,schema_variant,wikilinks,notes
15l21Zgph95LpzQNYNGrLghYkZuN2eMuC,대조 大,대조,大,Zizyphi Fructus,보익약,보기약,운곡본초학,하,1224,1225,475,477,SOURCE_INGESTED,true,[],2026-09-10,6161,2026-09-09T22:26:07.242Z,2026-09-09T22:26:07.242Z,TRUE,V2,핵심주의_INDEX;보익약,
1uDoIlzts_onuBYWjrT0E4xBeVn6K60_c,대풍자 大風子,대풍자,大風子,Hydnocarpi Semen,외용약,외용약,운곡본초학,하,1460,1462,711,714,SOURCE_INGESTED,true,[],2026-09-10,7323,2026-09-09T22:26:15.127Z,2026-09-09T22:26:15.127Z,TRUE,V2,핵심주의_INDEX;외용약,
1W4mbJ-XQIxA8wrRZsw6bAIzAJeujbtpA,도인 桃仁,도인,桃仁,Persicae Semen,활혈거어약,,운곡본초학,하,971,973,222,225,SOURCE_INGESTED,true,[],2026-09-10,10813,2026-09-09T22:26:22.981Z,2026-09-09T22:26:22.981Z,TRUE,V2,핵심주의_INDEX;활혈거어약,"SNIPPET_TRUNCATED: body text cut (9500 of 10813 bytes shown); frontmatter block complete, wikilink list may be incomplete"
1lAi349yp7fOe_sMHssI-At9SvTFInBgF,동과자 冬瓜子,동과자,冬瓜子,Beninecasae Semen,화담지해평천약,청화열담약,운곡본초학,하,1075,1077,326,329,SOURCE_INGESTED,true,[],2026-09-10,5764,2026-09-09T22:26:30.822Z,2026-09-09T22:26:30.822Z,TRUE,V2,핵심주의_INDEX;화담지해평천약,
1FIyB2uQPdl-GjPZztKxirJoLPl5WeTIP,동충하초 冬蟲夏草,동충하초,冬蟲夏草,Cordyceps,보익약,보양약,운곡본초학,하,1273,1274,524,526,SOURCE_INGESTED,true,[],2026-09-10,6582,2026-09-09T22:26:38.656Z,2026-09-09T22:26:38.656Z,TRUE,V2,핵심주의_INDEX;보익약,
1BiPj9EAA6Ij9fvnA-HZjSnjY_ra4Euoa,두충 杜仲,두충,杜仲,Eucommiae Cortex,보익약/보양약,,운곡본초학,하,1256,1258,,,SSOT,,,2026-09-10,1449,2026-09-09T21:10:52.654Z,2026-09-09T21:10:52.654Z,TRUE,V2,속단;우슬,
1Et9fE3A3kVrBfUF6jOb3lIi3Hz8_6k8b,마두령 馬떤鈴,마두령,馬떤鈴,Aristolochiae Fructus,화담지해평천약,지해평천약,운곡본초학,하,1095,1096,346,348,SOURCE_INGESTED,true,"[""ARISTOLOCHIC_ACID"", ""NEPHROTOXICITY"", ""DO_NOT_GENERALIZE_TRADITIONAL_USE""]",2026-09-10,6436,2026-09-09T22:26:46.865Z,2026-09-09T22:26:46.865Z,TRUE,V2,핵심주의_INDEX;화담지해평천약,
1MGl1V4CHcH_tn2aKa4yTAAc3KiYbMgP-,마황근,마황근,,Ephedrae Radix et Rhizoma,수삽약,지한약,운곡본초학,하,1371,1372,622,624,SOURCE_INGESTED,true,[],2026-09-10,5410,2026-09-09T22:26:54.786Z,2026-09-09T22:26:54.786Z,TRUE,V2,핵심주의_INDEX;수삽약,
1hUZZ1nBSqrB2pYQJLMix274CR-6cRGji,매괴화 玫瑰花,매괴화,玫瑰花,Rosae Rugosae Flos,이기약,,운곡본초학,하,846,847,97,99,SOURCE_INGESTED,true,[],2026-09-10,5193,2026-09-09T22:27:02.579Z,2026-09-09T22:27:02.579Z,TRUE,V2,핵심주의_INDEX;이기약,
1Q_N8UpQA3468pQXB3x-UIBH8V0BCW61T,맥문동 麥門冬,맥문동,麥門冬,Liriopis seu Ophiopogonis Tuber,보익약,보음약,운곡본초학,하,1329,1331,580,583,SOURCE_INGESTED,true,[],2026-09-10,10618,2026-09-09T22:27:10.402Z,2026-09-09T22:27:10.402Z,TRUE,V2,핵심주의_INDEX;보익약,"SNIPPET_TRUNCATED: body text cut (9230 of 10618 bytes shown); frontmatter block complete, wikilink list may be incomplete"
1hf3jxipMa5yJhaxjDWDok2HT-gU6NnaQ,맥아 麥芽,맥아,麥芽,,소식약,,운곡본초학,하,861,863,,,SSOT,,,2026-09-10,1279,2026-09-09T21:05:40.350Z,2026-09-09T21:05:40.350Z,TRUE,V2,수유중-산후한약-안전성-SSOT,
1-uzWQPhUf_slHz0wV6NneyyUf1NmbHJT,모려 牡廳,모려,牡廳,Ostreae Testa,평간식풍약,평간잠양약,운곡본초학,하,1160,1161,411,413,SOURCE_INGESTED,true,[],2026-09-10,6992,2026-09-09T22:27:18.159Z,2026-09-09T22:27:18.159Z,TRUE,V2,핵심주의_INDEX;평간식풍약,
1VrOTSZ7nW88ZecBMo8uAb64MW7Bv569A,목근피 木樓皮,목근피,木樓皮,Hibisci Cortex,외용약,외용약,운곡본초학,하,1463,1467,714,714,SOURCE_INGESTED,true,[],2026-09-10,7385,2026-09-09T22:27:25.881Z,2026-09-09T22:27:25.881Z,TRUE,V2,핵심주의_INDEX;외용약,
13bgo2dUvU6KJe4w78e2ShaGmeeqg28NH,목향 木香,목향,木香,Aucklandiae Radix,이기약,,운곡본초학,하,820,822,,,SSOT,,,2026-09-10,1408,2026-09-09T21:05:10.456Z,2026-09-09T21:05:10.456Z,TRUE,V2,향부자;오약,
1TJFmo9_UF8J1jti_RJnlAXxlvGA15lcb,몰약 沒藥,몰약,沒藥,Myrrha,활혈거어약,,운곡본초학,하,944,946,195,198,SOURCE_INGESTED,true,[],2026-09-10,8319,2026-09-09T22:27:33.430Z,2026-09-09T22:27:33.430Z,TRUE,V2,핵심주의_INDEX;활혈거어약,
1R9FM5IPGZhCFVLMI-vLN5avRQJsyi1zi,무이 菊莫,무이,菊莫,Ulmi Semen Pasta,구충약,,운곡본초학,하,886,887,137,139,SOURCE_INGESTED,true,[],2026-09-10,5827,2026-09-09T22:27:41.286Z,2026-09-09T22:27:41.286Z,TRUE,V2,핵심주의_INDEX;구충약,
1LjuFZ0U5GO4e0hlBW031W7GXyksNNOCh,반대해 胖* 海,반대해,胖* 海,Sterculiae Semen,화담지해평천약,청화열담약,운곡본초학,하,1071,1072,322,324,SOURCE_INGESTED,true,[],2026-09-10,4773,2026-09-09T22:27:50.931Z,2026-09-09T22:27:50.931Z,TRUE,V2,핵심주의_INDEX;화담지해평천약,
